,dist,param,loc,scale,sample size,nodes,iteration,emma emv,pwm emv,mle emv,mom emv,scipy emv
0,norm,,0,1,15,50,0,2.284660281512658,2.2591303147623334,2.2583701896072137,2.2964811005580366,2.238099711290488
1,norm,,0,1,15,50,1,2.284660281512658,2.262173210826015,2.2582759344768997,2.281466312790514,2.2582943777011057
2,norm,,0,1,15,50,2,2.284660281512658,2.4237279388046167,2.4353653958991606,2.404349531077568,2.435335071904509
3,norm,,0,1,15,50,3,2.284660281512658,2.451011634889319,2.5005279014750594,2.4284701933017288,2.500524899529934
4,norm,,0,1,15,50,4,2.284660281512658,2.212436373997457,2.211602832730918,2.1956010803109542,2.21157696326786
5,norm,,0,1,15,50,5,2.284660281512658,2.3686254827823174,2.369059153770699,2.356138893124406,2.369039741378543
6,norm,,0,1,15,50,6,2.284660281512658,2.4860006400106363,2.5057856225660395,2.4835158839296234,2.5058351478216325
7,norm,,0,1,15,50,7,2.284660281512658,1.9944634248180868,2.014325086164877,2.0014606849968475,2.0143151234382994
8,norm,,0,1,15,50,8,2.284660281512658,2.275091447972142,2.283209729790067,2.2608797710013357,2.28321405410911
9,norm,,0,1,15,50,9,2.284660281512658,2.2419041807384676,2.2655061606624107,2.2592612991386085,2.265537211601033
10,norm,,0,1,15,50,10,2.284660281512658,2.2863798187358975,2.31548815123296,2.2524053451404087,2.3154760751716
11,norm,,0,1,15,50,11,2.284660281512658,2.2608197578826235,2.284733404915296,2.3273451238199425,2.284643731352297
12,norm,,0,1,15,50,12,2.284660281512658,2.349533024787345,2.351969657293325,2.328937780246351,2.3519711328003052
13,norm,,0,1,15,50,13,2.284660281512658,2.3363071433953615,2.344950540015695,2.352543359069368,2.3449435431229326
14,norm,,0,1,15,50,14,2.284660281512658,2.320153555554876,2.2943353390470516,2.3392200784007544,2.310006799613492
15,norm,,0,1,15,50,15,2.284660281512658,2.2015435683240057,2.234264637606341,2.216455646620769,2.234280818899023
16,norm,,0,1,15,50,16,2.284660281512658,2.262479408384551,2.2790973545373885,2.2386813815239393,2.2790926092417005
17,norm,,0,1,15,50,17,2.284660281512658,2.4557771117815204,2.4448729032624468,2.4694253523995786,2.4448567807731836
18,norm,,0,1,15,50,18,2.284660281512658,2.2262479205582397,2.229623895866823,2.256460315668069,2.2296361203153894
19,norm,,0,1,15,50,19,2.284660281512658,2.4427909613210823,2.4218242976937465,2.419406367653289,2.421814581455768
20,norm,,0,1,15,50,20,2.284660281512658,2.163982036741787,2.1748245607825756,2.182723145397971,2.1724183155098107
21,norm,,0,1,15,50,21,2.284660281512658,2.4988176382783376,2.507370786578387,2.5236971221780893,2.50735049157156
22,norm,,0,1,15,50,22,2.284660281512658,2.307122180095944,2.3184025952456233,2.3583870339080897,2.318389254033108
23,norm,,0,1,15,50,23,2.284660281512658,2.1483289887274073,2.160738327971098,2.1823075660068625,2.1607785629005267
24,norm,,0,1,15,50,24,2.284660281512658,2.3331199724992455,2.3275322611051363,2.34110423415487,2.327503446798592
25,norm,,0,1,15,50,25,2.284660281512658,2.4325114101087135,2.460488879548896,2.4189523587591593,2.4605076296820334
26,norm,,0,1,15,50,26,2.284660281512658,2.2163688112928535,2.2358280289554693,2.335966537157117,2.2358451532053207
27,norm,,0,1,15,50,27,2.284660281512658,2.3761410091441726,2.391838861763924,2.418380999731453,2.3918243468154388
28,norm,,0,1,15,50,28,2.284660281512658,2.2432418720471246,2.291762590253542,2.2356024747183727,2.291779027060519
29,norm,,0,1,15,50,29,2.284660281512658,2.3870182101827533,2.397603229186121,2.3850887994827863,2.3976007070609224
30,norm,,0,1,15,50,30,2.284660281512658,2.482174762467364,2.476222320508364,2.498992098239728,2.4761819937699765
31,norm,,0,1,15,50,31,2.284660281512658,2.240064441229639,2.2495337047800605,2.2523207936403535,2.249564671456732
32,norm,,0,1,15,50,32,2.284660281512658,2.0569526709915933,2.0431643104789354,2.081556789641832,2.0404819174976745
33,norm,,0,1,15,50,33,2.284660281512658,2.2475014173425873,2.254248975268666,2.23090027839021,2.254192629667549
34,norm,,0,1,15,50,34,2.284660281512658,2.3314322722973904,2.3312778842091046,2.3283924402599845,2.331349295112361
35,norm,,0,1,15,50,35,2.284660281512658,2.295615460095517,2.3008774471462443,2.304641145953343,2.300852813432778
36,norm,,0,1,15,50,36,2.284660281512658,2.183388851020731,2.210019937596303,2.2377982045216958,2.2100340275128527
37,norm,,0,1,15,50,37,2.284660281512658,2.1088402040559098,2.1099510393737635,2.113258115142871,2.1099359425010453
38,norm,,0,1,15,50,38,2.284660281512658,2.307514504894178,2.305548013663851,2.323018427610282,2.3099187943551076
39,norm,,0,1,15,50,39,2.284660281512658,2.3069002873457034,2.3015813721866683,2.2897691319789732,2.3015381793827907
40,norm,,0,1,15,50,40,2.284660281512658,2.338997464716892,2.2994197737643676,2.3494359359709747,2.3406128658836267
41,norm,,0,1,15,50,41,2.284660281512658,2.1810882343415345,2.2075023871495834,2.174436548521027,2.207501391663667
42,norm,,0,1,15,50,42,2.284660281512658,2.337204473085695,2.3467458433167936,2.335044524779845,2.3467998017379874
43,norm,,0,1,15,50,43,2.284660281512658,2.1278276884280753,2.1450310946369586,2.1839332938897607,2.14502168205745
44,norm,,0,1,15,50,44,2.284660281512658,2.3549653327509588,2.335656808561023,2.349186847816748,2.3356677416154477
45,norm,,0,1,15,50,45,2.284660281512658,2.3187825962624404,2.327630987766778,2.3490294339987807,2.3276312528212904
46,norm,,0,1,15,50,46,2.284660281512658,2.3182128400962054,2.3186836510956854,2.3491171826120514,2.3186563334805856
47,norm,,0,1,15,50,47,2.284660281512658,2.2879026106631297,2.2487758737671175,2.35621319300051,2.248767342689338
48,norm,,0,1,15,50,48,2.284660281512658,2.1727373208593854,2.1794387527917474,2.174104957739431,2.179453446774216
49,norm,,0,1,15,50,49,2.284660281512658,2.2171665254562902,2.2191051959015375,2.2526586087936984,2.2254248927317244
50,norm,,0,1,15,50,50,2.284660281512658,2.247136975500532,2.250591443712711,2.2419075312447028,2.250566124512652
51,norm,,0,1,15,50,51,2.284660281512658,2.1828111296918236,2.175654503452014,2.2084399581461804,2.1757191603881525
52,norm,,0,1,15,50,52,2.284660281512658,2.417447455822628,2.4137873832860275,2.4560364277643574,2.4137650910134156
53,norm,,0,1,15,50,53,2.284660281512658,2.3938404471768817,2.3881159814370188,2.4094045139949087,2.3881046895240163
54,norm,,0,1,15,50,54,2.284660281512658,1.9583979590012182,1.9285199341027146,2.0429179863311404,1.9285325573938468
55,norm,,0,1,15,50,55,2.284660281512658,2.2872263049251838,2.2866203021978673,2.2779104663817837,2.286568814335496
56,norm,,0,1,15,50,56,2.284660281512658,2.4851871550198634,2.370683901725129,2.59046065000261,2.370703679158606
57,norm,,0,1,15,50,57,2.284660281512658,2.054718004603503,2.049082425673409,2.047837963714044,2.049078166882314
58,norm,,0,1,15,50,58,2.284660281512658,2.2343269646051582,2.229283996366954,2.2391265924867714,2.2292762708462
59,norm,,0,1,15,50,59,2.284660281512658,2.408830431161995,2.404695209541258,2.385487164471375,2.4046888117019227
60,norm,,0,1,15,50,60,2.284660281512658,2.2949844431048603,2.303868420226393,2.3044372972444265,2.3038495401376626
61,norm,,0,1,15,50,61,2.284660281512658,2.194316526756112,2.165805109200154,2.2007678648606888,2.1657797314485743
62,norm,,0,1,15,50,62,2.284660281512658,2.2055577262420756,2.200263775448761,2.2073568608323404,2.200265089597614
63,norm,,0,1,15,50,63,2.284660281512658,2.180100064811135,2.209686341710475,2.305622270046821,2.209731602072046
64,norm,,0,1,15,50,64,2.284660281512658,2.015579083267292,1.9942995547734421,2.0848729110714888,1.9942959111156806
65,norm,,0,1,15,50,65,2.284660281512658,2.24844746491475,2.25174394365785,2.275363661700098,2.2482490312033643
66,norm,,0,1,15,50,66,2.284660281512658,2.4294949641624193,2.6200976773191504,2.4278869139144166,2.603243717221975
67,norm,,0,1,15,50,67,2.284660281512658,2.1129165026004433,2.1086838118639286,2.1498666733578764,2.108664946690305
68,norm,,0,1,15,50,68,2.284660281512658,2.1954993719715232,2.2700450935859724,2.284201156282209,2.2699689041557227
69,norm,,0,1,15,50,69,2.284660281512658,2.0313049419662086,2.031657073889937,2.049259791070592,2.031671478905896
70,norm,,0,1,15,50,70,2.284660281512658,2.038990483307164,2.050131102824508,2.0597406033539523,2.05011673018946
71,norm,,0,1,15,50,71,2.284660281512658,2.3856867978729155,2.393985304393409,2.4125853318291126,2.3940279355634906
72,norm,,0,1,15,50,72,2.284660281512658,2.2782970233070747,2.2832970778437818,2.280924304422634,2.2832675030995158
73,norm,,0,1,15,50,73,2.284660281512658,2.2501552093774713,2.2525334448440777,2.248362266148467,2.252495944161056
74,norm,,0,1,15,50,74,2.284660281512658,2.245512826590087,2.2595544909238625,2.255744160300271,2.2595787366945865
75,norm,,0,1,15,50,75,2.284660281512658,2.2839714327379603,2.2865035659650403,2.305195470158931,2.2865343624828407
76,norm,,0,1,15,50,76,2.284660281512658,1.9686709156686846,1.973820323422526,1.997876438296542,1.9730155348118228
77,norm,,0,1,15,50,77,2.284660281512658,2.399778458620132,2.4092005102430503,2.4026173039380154,2.4091917033236028
78,norm,,0,1,15,50,78,2.284660281512658,2.381961659817311,2.3762130964540717,2.359845421283094,2.376206364071328
79,norm,,0,1,15,50,79,2.284660281512658,2.343657940043313,2.3696613675076916,2.3688146307609856,2.3696054598840055
80,norm,,0,1,15,50,80,2.284660281512658,2.2897723002565535,2.3085332704384447,2.2824684480905018,2.3085250491134595
81,norm,,0,1,15,50,81,2.284660281512658,2.2969874324393103,2.2941975664160537,2.3158238267297304,2.294175643528792
82,norm,,0,1,15,50,82,2.284660281512658,2.228489977306612,2.2540031279501864,2.244962850169333,2.2540274102080873
83,norm,,0,1,15,50,83,2.284660281512658,2.2369353998079182,2.249668059248149,2.2769113423793854,2.2497005926514193
84,norm,,0,1,15,50,84,2.284660281512658,2.252342310637751,2.2637372801562043,2.2478306727257,2.263709686353829
85,norm,,0,1,15,50,85,2.284660281512658,2.3625161606134384,2.378049548594136,2.3722477891157907,2.3780285070890623
86,norm,,0,1,15,50,86,2.284660281512658,2.3337992968292984,2.3301499526798772,2.4326844235255987,2.3301228557539035
87,norm,,0,1,15,50,87,2.284660281512658,2.262819799518686,2.251549020241673,2.274244424476675,2.2612418914806964
88,norm,,0,1,15,50,88,2.284660281512658,2.475142666365546,2.4785249946892405,2.4258703774730273,2.478520339616392
89,norm,,0,1,15,50,89,2.284660281512658,2.301186235923989,2.2736957633425985,2.3343533890872576,2.273684174957959
90,norm,,0,1,15,50,90,2.284660281512658,2.230715323950774,2.248695113454091,2.2371318506219215,2.248763719200397
91,norm,,0,1,15,50,91,2.284660281512658,2.267638093848129,2.275540433845521,2.2640321410628355,2.275532786061137
92,norm,,0,1,15,50,92,2.284660281512658,2.274745635541513,2.276070434573302,2.2598908964583586,2.276159791039218
93,norm,,0,1,15,50,93,2.284660281512658,2.1640374818672754,2.124224434527626,2.168685668308135,2.1668195959182652
94,norm,,0,1,15,50,94,2.284660281512658,2.190957780883292,2.1839800703002745,2.1735538248543618,2.1839443068474638
95,norm,,0,1,15,50,95,2.284660281512658,2.428715972133702,2.4254960783338877,2.442714246545783,2.425536893754755
96,norm,,0,1,15,50,96,2.284660281512658,2.1977621203021935,2.1877291464090995,2.1857572430743697,2.187715844431437
97,norm,,0,1,15,50,97,2.284660281512658,2.2438106969494385,2.273604788398505,2.2577613381620947,2.273640210596573
98,norm,,0,1,15,50,98,2.284660281512658,2.2467009951996806,2.282867979144545,2.283838211607825,2.2828819381074394
99,norm,,0,1,15,50,99,2.284660281512658,2.3348653702418387,2.36704208986293,2.3185002253275484,2.3670054312151487
100,pareto,2.62,0,1,15,50,0,5.5599596128719595,4.954295929443624,4.812657928083692,5.658010809542533,4.812619668984164
101,pareto,2.62,0,1,15,50,1,5.5599596128719595,6.033489977593412,6.20816234628609,7.140848369978311,6.208097997884253
102,pareto,2.62,0,1,15,50,2,5.5599596128719595,5.112064867853302,5.18571379768599,5.426621166268813,5.1856854747391
103,pareto,2.62,0,1,15,50,3,5.5599596128719595,5.041104265468865,4.859683399709759,6.718168286732547,4.8595739661225625
104,pareto,2.62,0,1,15,50,4,5.5599596128719595,4.793109650286712,5.042651437427842,6.172472469997416,5.042612041233373
105,pareto,2.62,0,1,15,50,5,5.5599596128719595,5.726065367674522,5.84130622721126,6.482939059102083,5.8412505157493
106,pareto,2.62,0,1,15,50,6,5.5599596128719595,5.1794324171310135,5.27993118502134,5.373538375543133,5.279921638489396
107,pareto,2.62,0,1,15,50,7,5.5599596128719595,6.52398911503631,6.032675490639069,7.539031014993293,6.03272978935587
108,pareto,2.62,0,1,15,50,8,5.5599596128719595,5.229909300721736,5.291798987432252,6.949130190504089,5.291839169346606
109,pareto,2.62,0,1,15,50,9,5.5599596128719595,5.840443987486889,5.525949813271225,6.054783368627005,5.525957153581144
110,pareto,2.62,0,1,15,50,10,5.5599596128719595,5.110474119395203,5.180470500070779,5.489171946486186,5.180555878135218
111,pareto,2.62,0,1,15,50,11,5.5599596128719595,5.161418704600582,4.938948758637915,5.488808253699616,4.939012215187973
112,pareto,2.62,0,1,15,50,12,5.5599596128719595,6.057593845225174,5.710594317768093,7.803404901791977,5.710478947299422
113,pareto,2.62,0,1,15,50,13,5.5599596128719595,5.704632707388477,5.780603651957,5.981171734610587,5.780620564077626
114,pareto,2.62,0,1,15,50,14,5.5599596128719595,6.451894539242398,6.6289265173288285,8.143488213590473,6.628903923844274
115,pareto,2.62,0,1,15,50,15,5.5599596128719595,7.314199997082372,6.913010718426112,8.182150095613984,6.912989207569442
116,pareto,2.62,0,1,15,50,16,5.5599596128719595,4.657136492493208,4.778017606098538,5.458446116874726,4.777910584487959
